               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  37,              1.3983,             0.76669,              1.1387,             0.92583,             0.87355,             0.92351,             0.52106,              1.3851,             0.60925,                1.19,            0.006436,            0.006436,            0.006436
                  38,              1.4016,             0.76008,              1.1392,             0.94409,             0.89873,             0.93043,              0.5284,              1.3673,             0.60279,              1.1701,            0.006337,            0.006337,            0.006337
                  39,              1.3923,              0.7539,              1.1266,             0.94284,             0.90925,             0.93218,             0.51764,              1.4003,             0.60012,              1.1981,            0.006238,            0.006238,            0.006238
                  40,              1.3871,             0.74862,              1.1252,             0.91868,             0.81097,             0.90389,             0.49201,              1.4563,             0.67598,              1.2338,            0.006139,            0.006139,            0.006139
                  41,              1.3866,             0.74025,              1.1411,             0.95509,             0.90968,             0.93047,             0.54164,              1.3655,             0.56173,              1.1757,             0.00604,             0.00604,             0.00604
                  42,              1.3804,             0.73641,              1.1337,             0.95503,             0.91234,             0.95356,             0.54967,              1.3573,             0.54354,              1.1628,            0.005941,            0.005941,            0.005941
                  43,              1.3812,             0.73981,              1.1364,             0.95287,             0.91954,             0.94818,             0.54981,              1.3556,             0.56041,              1.1628,            0.005842,            0.005842,            0.005842
                  44,              1.3701,             0.72528,              1.1279,             0.94811,             0.91328,             0.96009,             0.55467,               1.357,             0.57006,              1.1785,            0.005743,            0.005743,            0.005743
                  45,              1.3579,             0.72323,              1.1254,             0.94481,             0.92352,             0.96105,             0.55672,              1.3695,              0.5482,              1.1723,            0.005644,            0.005644,            0.005644
                  46,              1.3809,             0.71773,               1.129,             0.95364,             0.92624,             0.95916,              0.5536,              1.3615,             0.56175,              1.1548,            0.005545,            0.005545,            0.005545
                  47,              1.3624,             0.71249,              1.1108,             0.93931,             0.90938,             0.95411,             0.55378,              1.3405,             0.55747,               1.158,            0.005446,            0.005446,            0.005446
                  48,              1.3571,             0.70832,              1.1165,             0.95997,             0.91767,             0.95631,              0.5615,              1.3559,             0.55834,              1.1654,            0.005347,            0.005347,            0.005347
                  49,              1.3678,             0.71023,              1.1221,             0.96982,             0.92663,             0.96304,             0.56072,              1.3466,             0.53812,              1.1558,            0.005248,            0.005248,            0.005248
                  50,              1.3426,             0.69832,              1.1208,             0.94836,             0.92525,             0.95775,             0.55081,              1.3723,             0.55374,              1.1696,            0.005149,            0.005149,            0.005149
                  51,              1.3485,             0.69688,              1.1132,              0.9115,             0.96567,             0.96138,             0.56158,              1.3426,             0.53767,              1.1574,             0.00505,             0.00505,             0.00505
                  52,              1.3424,              0.6962,              1.1221,             0.95161,             0.91461,              0.9394,             0.54365,              1.3587,             0.55654,               1.183,            0.004951,            0.004951,            0.004951
                  53,              1.3347,             0.68905,              1.1035,             0.93462,             0.95289,             0.94352,             0.55207,              1.3517,             0.54123,              1.1654,            0.004852,            0.004852,            0.004852
                  54,              1.3707,             0.69814,              1.1264,             0.96602,             0.92165,              0.9618,             0.55392,              1.3478,             0.53556,              1.1537,            0.004753,            0.004753,            0.004753
                  55,              1.3509,             0.68018,              1.1163,             0.94574,             0.92034,             0.95895,             0.56186,              1.3346,             0.53192,              1.1502,            0.004654,            0.004654,            0.004654
                  56,              1.3285,              0.6808,              1.1164,             0.95229,             0.92541,             0.95833,             0.56057,              1.3326,             0.53918,              1.1666,            0.004555,            0.004555,            0.004555
                  57,              1.3418,             0.67486,              1.1171,             0.93608,             0.91466,             0.96154,             0.55655,              1.3288,              0.5546,              1.1474,            0.004456,            0.004456,            0.004456
                  58,              1.3399,             0.67031,              1.1234,             0.96476,             0.93118,             0.96244,             0.57267,              1.3331,             0.52321,              1.1469,            0.004357,            0.004357,            0.004357
                  59,              1.3185,             0.66929,               1.114,             0.95658,             0.90822,              0.9566,             0.55211,              1.3617,              0.5463,                1.18,            0.004258,            0.004258,            0.004258
                  60,              1.3024,              0.6559,              1.0993,             0.95681,             0.91825,             0.95907,             0.56875,              1.3375,             0.52949,              1.1599,            0.004159,            0.004159,            0.004159
                  61,              1.3088,              0.6618,              1.1029,             0.97367,             0.93229,             0.96073,             0.56282,              1.3475,             0.51933,              1.1584,             0.00406,             0.00406,             0.00406
                  62,              1.3063,             0.66633,               1.104,             0.95932,             0.93573,                0.96,              0.5609,               1.356,             0.53681,              1.1594,            0.003961,            0.003961,            0.003961
                  63,              1.3086,             0.66165,              1.1039,             0.95222,             0.90728,             0.96069,             0.55405,              1.3525,             0.55649,              1.1608,            0.003862,            0.003862,            0.003862
                  64,                1.33,             0.66085,              1.1183,             0.96355,             0.92068,             0.93198,             0.53884,              1.3611,             0.53566,              1.1792,            0.003763,            0.003763,            0.003763
                  65,              1.3131,             0.65437,              1.0939,             0.96821,             0.92737,             0.95493,             0.55937,              1.3433,             0.52042,                1.16,            0.003664,            0.003664,            0.003664
                  66,              1.2956,             0.65609,              1.0995,             0.93719,             0.96539,             0.95857,             0.55429,              1.3507,              0.5203,               1.172,            0.003565,            0.003565,            0.003565
                  67,              1.3015,             0.64354,              1.1125,             0.96944,             0.92643,             0.95614,             0.55598,              1.3551,             0.51523,              1.1714,            0.003466,            0.003466,            0.003466
                  68,              1.2982,             0.63661,              1.0977,             0.95318,             0.91188,             0.93964,             0.54398,              1.3757,             0.53612,              1.1737,            0.003367,            0.003367,            0.003367
                  69,               1.293,             0.63447,              1.0965,             0.91424,             0.96963,             0.96192,             0.56079,              1.3348,             0.50249,              1.1544,            0.003268,            0.003268,            0.003268
                  70,              1.2823,             0.63589,              1.0896,             0.96469,             0.92928,             0.95725,             0.56124,              1.3529,             0.52077,              1.1553,            0.003169,            0.003169,            0.003169
                  71,              1.2749,             0.62598,               1.096,             0.96682,             0.93044,             0.96206,             0.55269,              1.3438,             0.51852,              1.1522,             0.00307,             0.00307,             0.00307
                  72,              1.2568,             0.61596,              1.0868,              0.9316,              0.9229,             0.96096,             0.56426,              1.3275,             0.52336,              1.1512,            0.002971,            0.002971,            0.002971
                  73,              1.2864,             0.63985,              1.0953,             0.96525,              0.9304,              0.9457,             0.54984,              1.3535,              0.5121,              1.1659,            0.002872,            0.002872,            0.002872
                  74,              1.2772,             0.63185,              1.0831,              0.9702,             0.92083,             0.95695,             0.54874,              1.3564,             0.50837,              1.1602,            0.002773,            0.002773,            0.002773
                  75,              1.2767,             0.62939,              1.0903,              0.9701,              0.9276,             0.93993,               0.543,              1.3518,             0.51247,              1.1614,            0.002674,            0.002674,            0.002674
                  76,              1.2686,             0.61821,              1.0945,             0.95313,             0.95823,             0.95719,             0.55874,              1.3412,             0.50733,              1.1554,            0.002575,            0.002575,            0.002575
                  77,              1.2635,             0.62042,              1.0977,             0.97976,             0.93473,             0.96244,             0.56532,              1.3207,             0.49434,              1.1524,            0.002476,            0.002476,            0.002476
                  78,              1.2714,             0.62063,              1.0874,             0.96311,             0.92253,             0.95275,             0.55306,              1.3558,             0.51242,               1.183,            0.002377,            0.002377,            0.002377
                  79,              1.2548,             0.61126,              1.0756,             0.97229,             0.93086,             0.95557,             0.55637,              1.3513,             0.50856,              1.1831,            0.002278,            0.002278,            0.002278
                  80,               1.259,             0.62088,              1.0787,             0.96549,             0.92783,             0.95456,             0.55691,              1.3339,              0.4975,              1.1574,            0.002179,            0.002179,            0.002179
                  81,              1.2482,             0.60754,              1.0779,             0.97222,              0.9331,             0.95999,             0.55353,              1.3719,             0.51523,              1.1897,             0.00208,             0.00208,             0.00208
                  82,              1.2382,             0.60628,              1.0826,             0.91604,             0.96684,             0.95728,             0.55739,              1.3507,             0.49608,              1.1779,            0.001981,            0.001981,            0.001981
                  83,              1.2368,             0.60771,              1.0844,             0.97321,             0.93173,             0.94253,             0.55737,              1.3459,             0.49677,              1.1753,            0.001882,            0.001882,            0.001882
                  84,               1.238,             0.60808,              1.0675,             0.96803,             0.92835,             0.95469,             0.56315,              1.3454,             0.49259,              1.1816,            0.001783,            0.001783,            0.001783
